dataset,gt_pairs,semantic_detected_pairs,semantic_pair_recall,mean_entropy,mean_conflict,mean_variation,mean_reliability,mean_uncertainty_risk,mean_fp_risk_proxy,total_TP_AP50,total_FP_AP50,mean_FP_rate_AP50,mean_prompt_count
COCO,3217,2982,0.927,0.7179,0.4487,0.5566,0.1037,0.5834,1.7933,5108,29912,0.6765,10.8859
LVIS,4132,3773,0.9131,0.7423,0.4434,0.5201,0.0872,0.5821,1.7567,6518,41352,0.694,11.5852
