Fusion Strategy,AP_seen (%),AP_unseen (%),GZSD HM (%)
Single Prompt (Baseline),54.0,63.5,58.4
Mean Fusion,55.1,66.4,60.2
Max Fusion,52.1,65.0,57.8
Weighted Fusion,55.4,66.6,60.5
Adaptive Fusion,55.0,66.5,60.2
